pdb_file,repeat,state,residues,mean_plddt,median_plddt,min_plddt,max_plddt,std_plddt,very_high,confident,low,very_low
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_1/predictions/2olo_A_model_1_relaxed.pdb,1,relaxed,389,94.59799485861183,96.01,63.6,98.88,5.136498575735253,349,38,2,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_2/predictions/2olo_A_model_1_relaxed.pdb,2,relaxed,389,94.68884318766067,96.0,63.8,98.88,4.768673435951409,347,41,1,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_3/predictions/2olo_A_model_1_relaxed.pdb,3,relaxed,389,94.40966580976864,95.77,63.1,98.88,5.246764996573235,345,41,3,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_4/predictions/2olo_A_model_1_relaxed.pdb,4,relaxed,389,94.54424164524421,95.98,63.54,98.88,5.150179333602007,346,41,2,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_5/predictions/2olo_A_model_1_relaxed.pdb,5,relaxed,389,94.65593830334191,96.01,63.16,98.88,5.0647036587368905,348,40,1,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_6/predictions/2olo_A_model_1_relaxed.pdb,6,relaxed,389,94.5938560411311,96.05,64.11,98.89,5.013880582411826,346,42,1,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_7/predictions/2olo_A_model_1_relaxed.pdb,7,relaxed,389,94.54359897172236,95.98,63.05,98.89,5.271286683787873,345,42,2,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_8/predictions/2olo_A_model_1_relaxed.pdb,8,relaxed,389,94.59303341902314,95.94,63.56,98.88,5.120777420783908,347,41,1,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_9/predictions/2olo_A_model_1_relaxed.pdb,9,relaxed,389,94.78871465295629,96.13,63.6,98.88,4.805757489163999,347,41,1,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_10/predictions/2olo_A_model_1_relaxed.pdb,10,relaxed,389,94.61676092544987,95.83,63.24,98.87,4.9790567355876965,348,39,2,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_11/predictions/2olo_A_model_1_relaxed.pdb,11,relaxed,389,94.71370179948586,96.06,64.08,98.88,4.979896458320145,350,38,1,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_12/predictions/2olo_A_model_1_relaxed.pdb,12,relaxed,389,94.74125964010283,96.04,63.15,98.88,5.055442785724396,349,37,3,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_13/predictions/2olo_A_model_1_relaxed.pdb,13,relaxed,389,95.25143958868894,96.41,62.95,98.89,4.288999953678663,352,36,1,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_14/predictions/2olo_A_model_1_relaxed.pdb,14,relaxed,389,95.06804627249358,96.26,63.94,98.9,4.453315374257214,349,39,1,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_15/predictions/2olo_A_model_1_relaxed.pdb,15,relaxed,389,94.86012853470436,96.17,53.27,98.88,5.1881661772157255,352,34,3,0
/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_2olo_100pred_af/repeat_16/predictions/2olo_A_model_1_relaxed.pdb,16,relaxed,389,94.8871208226221,96.15,63.66,98.89,4.826746512419947,352,36,1,0
