epoch,repeat,chain,status,relax_success,relax_error,unrelaxed_path,relaxed_path,relaxed_exists
0,1,2olo_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/2olo_A_model_1_relaxed.pdb,False
0,1,4bp8_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/4bp8_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/4bp8_A_model_1_relaxed.pdb,False
0,1,5i6x_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/5i6x_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/5i6x_A_model_1_relaxed.pdb,False
0,1,6nbf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6nbf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6nbf_A_model_1_relaxed.pdb,False
0,1,6xpf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6xpf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6xpf_A_model_1_relaxed.pdb,False
0,1,7dsq_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7dsq_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7dsq_A_model_1_relaxed.pdb,False
0,1,7evw_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7evw_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7evw_A_model_1_relaxed.pdb,False
0,2,2olo_A,success,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_relaxed.pdb,True
0,2,4bp8_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/4bp8_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/4bp8_A_model_1_relaxed.pdb,False
0,2,5i6x_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/5i6x_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/5i6x_A_model_1_relaxed.pdb,False
0,2,6nbf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6nbf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6nbf_A_model_1_relaxed.pdb,False
0,2,6xpf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6xpf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6xpf_A_model_1_relaxed.pdb,False
0,2,7dsq_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/7dsq_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/7dsq_A_model_1_relaxed.pdb,False
0,2,7evw_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/7evw_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/7evw_A_model_1_relaxed.pdb,False
0,3,2olo_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/2olo_A_model_1_relaxed.pdb,False
0,3,4bp8_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/4bp8_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/4bp8_A_model_1_relaxed.pdb,False
0,3,5i6x_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/5i6x_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/5i6x_A_model_1_relaxed.pdb,False
0,3,6nbf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/6nbf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/6nbf_A_model_1_relaxed.pdb,False
0,3,6xpf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/6xpf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/6xpf_A_model_1_relaxed.pdb,False
