epoch,repeat,chain,state,pdb_path,mean_plddt,min_plddt,max_plddt,num_residues
0,1,2olo_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/2olo_A_model_1_unrelaxed.pdb,9.156349614395882,7.19,18.54,389
0,1,4bp8_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/4bp8_A_model_1_unrelaxed.pdb,9.485846153846147,7.02,20.22,715
0,1,5i6x_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/5i6x_A_model_1_unrelaxed.pdb,9.831785063752275,7.23,22.87,549
0,1,6nbf_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6nbf_A_model_1_unrelaxed.pdb,9.627112970711298,7.03,17.95,478
0,1,6xpf_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6xpf_A_model_1_unrelaxed.pdb,10.369468749999998,7.12,23.74,320
0,1,7dsq_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7dsq_A_model_1_unrelaxed.pdb,9.805711206896545,7.09,21.66,464
0,1,7evw_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7evw_A_model_1_unrelaxed.pdb,9.31484140233723,6.92,16.57,599
0,2,2olo_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb,9.191413881748069,7.18,17.63,389
0,2,4bp8_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/4bp8_A_model_1_unrelaxed.pdb,9.54047552447553,7.02,18.84,715
0,2,5i6x_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/5i6x_A_model_1_unrelaxed.pdb,9.76506375227687,7.24,21.21,549
0,2,6nbf_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6nbf_A_model_1_unrelaxed.pdb,9.580899581589946,7.1,18.2,478
0,2,6xpf_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6xpf_A_model_1_unrelaxed.pdb,10.173125000000011,7.16,23.93,320
0,2,7dsq_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/7dsq_A_model_1_unrelaxed.pdb,9.81418103448276,7.09,21.85,464
0,2,7evw_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/7evw_A_model_1_unrelaxed.pdb,9.316477462437392,6.95,17.68,599
0,3,2olo_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/2olo_A_model_1_unrelaxed.pdb,9.180668380462727,7.22,17.69,389
0,3,4bp8_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/4bp8_A_model_1_unrelaxed.pdb,9.455902097902104,7.07,17.52,715
0,3,5i6x_A,unrelaxed,/users/sgsrehm1/COMP702_BeyondAF/code/COMP390_code/Result/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_3/predictions/5i6x_A_model_1_unrelaxed.pdb,9.81708561020036,7.14,22.71,549
