epoch,repeat,chain,status,relax_success,relax_error,unrelaxed_path,relaxed_path,relaxed_exists,mean_plddt,min_plddt,max_plddt,num_residues,state,pdb_path
0,1,2olo_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/2olo_A_model_1_relaxed.pdb,False,9.156349614395882,7.19,18.54,389,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/2olo_A_model_1_unrelaxed.pdb
0,1,4bp8_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/4bp8_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/4bp8_A_model_1_relaxed.pdb,False,9.485846153846149,7.02,20.22,715,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/4bp8_A_model_1_unrelaxed.pdb
0,1,5i6x_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/5i6x_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/5i6x_A_model_1_relaxed.pdb,False,9.831785063752276,7.23,22.87,549,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/5i6x_A_model_1_unrelaxed.pdb
0,1,6nbf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6nbf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6nbf_A_model_1_relaxed.pdb,False,9.627112970711298,7.03,17.95,478,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6nbf_A_model_1_unrelaxed.pdb
0,1,6xpf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6xpf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6xpf_A_model_1_relaxed.pdb,False,10.369468749999998,7.12,23.74,320,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/6xpf_A_model_1_unrelaxed.pdb
0,1,7dsq_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7dsq_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7dsq_A_model_1_relaxed.pdb,False,9.805711206896545,7.09,21.66,464,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7dsq_A_model_1_unrelaxed.pdb
0,1,7evw_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7evw_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7evw_A_model_1_relaxed.pdb,False,9.31484140233723,6.92,16.57,599,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_1/predictions/7evw_A_model_1_unrelaxed.pdb
0,2,2olo_A,success,1,0,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_relaxed.pdb,True,9.191413881748067,7.18,17.63,389,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/2olo_A_model_1_unrelaxed.pdb
0,2,4bp8_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/4bp8_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/4bp8_A_model_1_relaxed.pdb,False,9.54047552447553,7.02,18.84,715,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/4bp8_A_model_1_unrelaxed.pdb
0,2,5i6x_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/5i6x_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/5i6x_A_model_1_relaxed.pdb,False,9.76506375227687,7.24,21.21,549,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/5i6x_A_model_1_unrelaxed.pdb
0,2,6nbf_A,error,0,1,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6nbf_A_model_1_unrelaxed.pdb,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6nbf_A_model_1_relaxed.pdb,False,9.580899581589946,7.1,18.2,478,unrelaxed,/users/sgmwu14/scratch/openfold_inference_runs5times/epoch_0/your_model_epoch_0/repeat_2/predictions/6nbf_A_model_1_unrelaxed.pdb
