invariant_file,repeat,rows,minimum_residue_id,maximum_residue_id,descriptor_count
2olo_A_model_1_relaxed_repeat001_inv.csv,1,389,1,389,30
2olo_A_model_1_relaxed_repeat002_inv.csv,2,389,1,389,30
2olo_A_model_1_relaxed_repeat003_inv.csv,3,389,1,389,30
2olo_A_model_1_relaxed_repeat004_inv.csv,4,389,1,389,30
2olo_A_model_1_relaxed_repeat005_inv.csv,5,389,1,389,30
2olo_A_model_1_relaxed_repeat006_inv.csv,6,389,1,389,30
2olo_A_model_1_relaxed_repeat007_inv.csv,7,389,1,389,30
2olo_A_model_1_relaxed_repeat008_inv.csv,8,389,1,389,30
2olo_A_model_1_relaxed_repeat009_inv.csv,9,389,1,389,30
2olo_A_model_1_relaxed_repeat010_inv.csv,10,389,1,389,30
2olo_A_model_1_relaxed_repeat011_inv.csv,11,389,1,389,30
2olo_A_model_1_relaxed_repeat012_inv.csv,12,389,1,389,30
2olo_A_model_1_relaxed_repeat013_inv.csv,13,389,1,389,30
2olo_A_model_1_relaxed_repeat014_inv.csv,14,389,1,389,30
2olo_A_model_1_relaxed_repeat015_inv.csv,15,389,1,389,30
2olo_A_model_1_relaxed_repeat016_inv.csv,16,389,1,389,30
2olo_A_model_1_relaxed_repeat017_inv.csv,17,389,1,389,30
2olo_A_model_1_relaxed_repeat018_inv.csv,18,389,1,389,30
2olo_A_model_1_relaxed_repeat019_inv.csv,19,389,1,389,30
2olo_A_model_1_relaxed_repeat020_inv.csv,20,389,1,389,30
2olo_A_model_1_relaxed_repeat021_inv.csv,21,389,1,389,30
2olo_A_model_1_relaxed_repeat022_inv.csv,22,389,1,389,30
2olo_A_model_1_relaxed_repeat023_inv.csv,23,389,1,389,30
2olo_A_model_1_relaxed_repeat024_inv.csv,24,389,1,389,30
2olo_A_model_1_relaxed_repeat025_inv.csv,25,389,1,389,30
2olo_A_model_1_relaxed_repeat026_inv.csv,26,389,1,389,30
2olo_A_model_1_relaxed_repeat027_inv.csv,27,389,1,389,30
2olo_A_model_1_relaxed_repeat028_inv.csv,28,389,1,389,30
2olo_A_model_1_relaxed_repeat029_inv.csv,29,389,1,389,30
2olo_A_model_1_relaxed_repeat030_inv.csv,30,389,1,389,30
2olo_A_model_1_relaxed_repeat031_inv.csv,31,389,1,389,30
2olo_A_model_1_relaxed_repeat032_inv.csv,32,389,1,389,30
2olo_A_model_1_relaxed_repeat033_inv.csv,33,389,1,389,30
2olo_A_model_1_relaxed_repeat034_inv.csv,34,389,1,389,30
2olo_A_model_1_relaxed_repeat035_inv.csv,35,389,1,389,30
2olo_A_model_1_relaxed_repeat036_inv.csv,36,389,1,389,30
2olo_A_model_1_relaxed_repeat037_inv.csv,37,389,1,389,30
2olo_A_model_1_relaxed_repeat038_inv.csv,38,389,1,389,30
2olo_A_model_1_relaxed_repeat039_inv.csv,39,389,1,389,30
2olo_A_model_1_relaxed_repeat040_inv.csv,40,389,1,389,30
2olo_A_model_1_relaxed_repeat041_inv.csv,41,389,1,389,30
2olo_A_model_1_relaxed_repeat042_inv.csv,42,389,1,389,30
2olo_A_model_1_relaxed_repeat043_inv.csv,43,389,1,389,30
2olo_A_model_1_relaxed_repeat044_inv.csv,44,389,1,389,30
2olo_A_model_1_relaxed_repeat045_inv.csv,45,389,1,389,30
2olo_A_model_1_relaxed_repeat046_inv.csv,46,389,1,389,30
2olo_A_model_1_relaxed_repeat047_inv.csv,47,389,1,389,30
2olo_A_model_1_relaxed_repeat048_inv.csv,48,389,1,389,30
2olo_A_model_1_relaxed_repeat049_inv.csv,49,389,1,389,30
2olo_A_model_1_relaxed_repeat050_inv.csv,50,389,1,389,30
